Name,ConstituentID,Nationality,Continent,Rank,Count,Gender,BeginDate,EndDate,Plot_Path,Local_Image_Path
Karim Rashid,27759,Egyptian,Africa,5,1,Male,1960,0,Country_strip\Karim Rashid_27759.png,country_top10_artist_images/Karim Rashid.jpg
Mohammad Shawky Hassan,67189,Egyptian,Africa,6,1,Male,1981,0,Country_strip\Mohammad Shawky Hassan_67189.png,country_top10_artist_images/Mohammad Shawky Hassan.jpg
Farah Al Qasimi,131770,Emirati,Asia,1,5,Female,1991,0,Country_strip\Farah Al Qasimi_131770.png,
Jüri Arrak,12,Estonian,Europe,1,1,Male,1936,0,Country_strip\Jüri Arrak_12.png,country_top10_artist_images/Jüri Arrak.jpg
Skunder (Skunder Boghossian),5467,Ethiopian,Africa,1,1,Male,1937,2003,Country_strip\Skunder Skunder Boghossian_5467.png,country_top10_artist_images/Skunder (Skunder Boghossian).jpg
Lav Diaz,48886,Filipino,Asia,1,4,Male,1958,0,Country_strip\Lav Diaz_48886.png,country_top10_artist_images/Lav Diaz.jpg
David Medalla,72375,Filipino,Asia,2,1,Male,1942,0,Country_strip\David Medalla_72375.png,
Alvar Aalto,34,Finnish,Europe,1,26,Male,1898,1976,Country_strip\Alvar Aalto_34.png,country_top10_artist_images/Alvar Aalto.jpg
Riiko Sakkinen,28784,Finnish,Europe,2,18,Male,1976,0,Country_strip\Riiko Sakkinen_28784.png,
Kaj Franck,1968,Finnish,Europe,3,12,Male,1911,1989,Country_strip\Kaj Franck_1968.png,country_top10_artist_images/Kaj Franck.jpg
Timo Sarpaneva,5168,Finnish,Europe,4,11,Male,1926,2006,Country_strip\Timo Sarpaneva_5168.png,country_top10_artist_images/Timo Sarpaneva.jpg
Tapio Wirkkala,6409,Finnish,Europe,5,9,Male,1915,1985,Country_strip\Tapio Wirkkala_6409.png,country_top10_artist_images/Tapio Wirkkala.jpg
Caroline Slotte,131528,Finnish,Europe,6,6,Female,1975,0,Country_strip\Caroline Slotte_131528.png,
Saara Hopea,2724,Finnish,Europe,7,6,Female,1925,1984,Country_strip\Saara Hopea_2724.png,country_top10_artist_images/Saara Hopea.jpg
Antti Nurmesniemi,6613,Finnish,Europe,8,3,Male,1927,2003,Country_strip\Antti Nurmesniemi_6613.png,
Göran Hongell,2720,Finnish,Europe,9,3,Male,1902,1973,Country_strip\Göran Hongell_2720.png,
Tom of Finland,28835,Finnish,Europe,10,3,Male,1920,1991,Country_strip\Tom of Finland_28835.png,country_top10_artist_images/Tom of Finland.jpg
Eugène Atget,229,French,Europe,1,2725,Male,1857,1927,Country_strip\Eugène Atget_229.png,country_top10_artist_images/Eugène Atget.jpg
Jean Dubuffet,1633,French,Europe,2,987,Male,1901,1985,Country_strip\Jean Dubuffet_1633.png,country_top10_artist_images/Jean Dubuffet.jpg
Henri Matisse,3832,French,Europe,3,979,Male,1869,1954,Country_strip\Henri Matisse_3832.png,country_top10_artist_images/Henri Matisse.jpg
Marc Chagall,1055,French,Europe,4,972,Male,1887,1985,Country_strip\Marc Chagall_1055.png,country_top10_artist_images/Marc Chagall.jpg
Pierre Bonnard,665,French,Europe,5,902,Male,1867,1947,Country_strip\Pierre Bonnard_665.png,country_top10_artist_images/Pierre Bonnard.jpg
Émile Bernard,511,French,Europe,6,628,Male,1868,1941,Country_strip\Émile Bernard_511.png,country_top10_artist_images/Émile Bernard.jpg
Georges Rouault,5053,French,Europe,7,590,Male,1871,1958,Country_strip\Georges Rouault_5053.png,country_top10_artist_images/Georges Rouault.jpg
André Derain,1500,French,Europe,8,557,Male,1880,1954,Country_strip\André Derain_1500.png,country_top10_artist_images/André Derain.jpg
Raoul Dufy,1646,French,Europe,9,527,Male,1877,1953,Country_strip\Raoul Dufy_1646.png,country_top10_artist_images/Raoul Dufy.jpg
Maurice Denis,1492,French,Europe,10,494,Male,1870,1943,Country_strip\Maurice Denis_1492.png,country_top10_artist_images/Maurice Denis.jpg
Andro Wekua,28852,Georgian,Europe,1,6,Male,1977,0,Country_strip\Andro Wekua_28852.png,
Lado Gudiashvili,23528,Georgian,Europe,2,3,Male,1896,1980,Country_strip\Lado Gudiashvili_23528.png,country_top10_artist_images/Lado Gudiashvili.jpg
Iraklii Gamrekeli,12650,Georgian,Europe,3,1,Male,1894,1943,Country_strip\Iraklii Gamrekeli_12650.png,
Lana Gogoberidze,46057,Georgian,Europe,4,1,Female,1928,0,Country_strip\Lana Gogoberidze_46057.png,country_top10_artist_images/Lana Gogoberidze.jpg
Thea Djordjadze,47891,Georgian,Europe,5,1,Female,1971,0,Country_strip\Thea Djordjadze_47891.png,
August Sander,5145,German,Europe,1,553,Male,1876,1964,Country_strip\August Sander_5145.png,country_top10_artist_images/August Sander.jpg
Martin Kippenberger,3111,German,Europe,2,217,Male,1953,1997,Country_strip\Martin Kippenberger_3111.png,country_top10_artist_images/Martin Kippenberger.jpg
Max Beckmann,429,German,Europe,3,208,Male,1884,1950,Country_strip\Max Beckmann_429.png,country_top10_artist_images/Max Beckmann.jpg
Thomas Schütte,5281,German,Europe,4,202,Male,1954,0,Country_strip\Thomas Schütte_5281.png,country_top10_artist_images/Thomas Schütte.jpg
Lovis Corinth,1243,German,Europe,5,172,Male,1858,1925,Country_strip\Lovis Corinth_1243.png,country_top10_artist_images/Lovis Corinth.jpg
Ernst Ludwig Kirchner,3115,German,Europe,6,162,Male,1880,1938,Country_strip\Ernst Ludwig Kirchner_3115.png,country_top10_artist_images/Ernst Ludwig Kirchner.jpg
Michael Schmidt,5238,German,Europe,7,160,Male,1945,2014,Country_strip\Michael Schmidt_5238.png,country_top10_artist_images/Michael Schmidt.jpg
Kurt Schwitters,5293,German,Europe,8,150,Male,1887,1948,Country_strip\Kurt Schwitters_5293.png,country_top10_artist_images/Kurt Schwitters.jpg
Paul Klee,3130,German,Europe,9,141,Male,1879,1940,Country_strip\Paul Klee_3130.png,country_top10_artist_images/Paul Klee.jpg
Franz Erhard Walther,7662,German,Europe,10,116,Male,1939,0,Country_strip\Franz Erhard Walther_7662.png,country_top10_artist_images/Franz Erhard Walther.jpg
El Anatsui,34619,Ghanaian,Africa,1,3,Male,1944,0,Country_strip\El Anatsui_34619.png,
Jannis Kounellis,3230,Greek,Europe,1,7,Male,1936,2017,Country_strip\Jannis Kounellis_3230.png,country_top10_artist_images/Jannis Kounellis.jpg
Nikos Hadjikyriakos-Ghika,7050,Greek,Europe,2,2,Male,1906,1994,Country_strip\Nikos HadjikyriakosGhika_7050.png,
Pavlos,4527,Greek,Europe,3,2,Male,1930,0,Country_strip\Pavlos_4527.png,country_top10_artist_images/Pavlos.jpg
Constantine Manos,3734,Greek,Europe,4,1,Male,1934,0,Country_strip\Constantine Manos_3734.png,country_top10_artist_images/Constantine Manos.jpg
Michail Bletsas,33373,Greek,Europe,5,1,Male,1967,0,Country_strip\Michail Bletsas_33373.png,country_top10_artist_images/Michail Bletsas.jpg
Nelly (Elli Sougioultzoglou-Seraidari),131935,Greek,Europe,6,1,Female,1899,1998,Country_strip\Nelly Elli SougioultzoglouSeraidari_131935.png,country_top10_artist_images/Nelly (Elli Sougioultzoglou-Seraidari).jpg
Takis Marthas,3786,Greek,Europe,7,1,Male,1905,1965,Country_strip\Takis Marthas_3786.png,country_top10_artist_images/Takis Marthas.jpg
Théo Angelopoulos,46027,Greek,Europe,8,1,Male,1935,2012,Country_strip\Théo Angelopoulos_46027.png,country_top10_artist_images/Théo Angelopoulos.jpg
Carlos Mérida,3935,Guatemalan,North America,1,23,Male,1891,1984,Country_strip\Carlos Mérida_3935.png,
Rodolfo Abularach,52,Guatemalan,North America,2,8,Male,1933,0,Country_strip\Rodolfo Abularach_52.png,country_top10_artist_images/Rodolfo Abularach.jpg
Regina José Galindo,67949,Guatemalan,North America,3,2,Female,1974,0,Country_strip\Regina José Galindo_67949.png,country_top10_artist_images/Regina José Galindo.jpg
Roberto González Goyri,2230,Guatemalan,North America,4,1,Male,1924,2007,Country_strip\Roberto González Goyri_2230.png,
Roberto Ossaye,4440,Guatemalan,North America,5,1,Male,1927,1954,Country_strip\Roberto Ossaye_4440.png,country_top10_artist_images/Roberto Ossaye.jpg
Rodolfo (Rodolfo Mishaan Pinto) Mishaan,4020,Guatemalan,North America,6,1,Male,1924,0,Country_strip\Rodolfo Rodolfo Mishaan Pinto Mishaan_4020.png,
Frank Bowling,719,Guyanese,South America,1,1,Male,1934,0,Country_strip\Frank Bowling_719.png,
Castera Bazile,405,Haitian,North America,1,1,Male,1923,1966,Country_strip\Castera Bazile_405.png,country_top10_artist_images/Castera Bazile.jpg
Enguérrand Gourgue,2272,Haitian,North America,2,1,Male,1930,1996,Country_strip\Enguérrand Gourgue_2272.png,
Georges Liautaud,3535,Haitian,North America,3,1,Male,1899,1991,Country_strip\Georges Liautaud_3535.png,
Hervé Télémaque,5827,Haitian,North America,4,1,Male,1937,0,Country_strip\Hervé Télémaque_5827.png,country_top10_artist_images/Hervé Télémaque.jpg
Philomé Obin,4368,Haitian,North America,5,1,Male,1892,1986,Country_strip\Philomé Obin_4368.png,country_top10_artist_images/Philomé Obin.jpg
René Vincent,6167,Haitian,North America,6,1,Male,1911,0,Country_strip\René Vincent_6167.png,country_top10_artist_images/René Vincent.jpg
Roland Dorcély,1588,Haitian,North America,7,1,Male,1930,2017,Country_strip\Roland Dorcély_1588.png,
Wilson Bigaud,557,Haitian,North America,8,1,Male,1931,2010,Country_strip\Wilson Bigaud_557.png,
János Kender,38024,Hungarian,Europe,1,37,Male,1937,2009,Country_strip\János Kender_38024.png,
Sándor (Alexander) Bortnyik,686,Hungarian,Europe,2,12,Male,1893,1976,Country_strip\Sándor Alexander Bortnyik_686.png,country_top10_artist_images/Sándor (Alexander) Bortnyik.jpg
Lucien Hervé,41224,Hungarian,Europe,3,11,Male,1910,2007,Country_strip\Lucien Hervé_41224.png,country_top10_artist_images/Lucien Hervé.jpg
Péter Forgács,34890,Hungarian,Europe,4,11,Male,1950,0,Country_strip\Péter Forgács_34890.png,country_top10_artist_images/Péter Forgács.jpg
Dóra Maurer,42457,Hungarian,Europe,5,10,Female,1937,0,Country_strip\Dóra Maurer_42457.png,country_top10_artist_images/Dóra Maurer.jpg
Katalin Ladik,47646,Hungarian,Europe,6,8,Female,1942,0,Country_strip\Katalin Ladik_47646.png,country_top10_artist_images/Katalin Ladik.jpg
Lajos Kassák,3010,Hungarian,Europe,7,7,Male,1887,1967,Country_strip\Lajos Kassák_3010.png,country_top10_artist_images/Lajos Kassák.jpg
András Wahorn,47288,Hungarian,Europe,8,5,Male,1953,0,Country_strip\András Wahorn_47288.png,country_top10_artist_images/András Wahorn.jpg
Rogi André (Rozsa Klein),4996,Hungarian,Europe,9,5,Female,1905,1970,Country_strip\Rogi André Rozsa Klein_4996.png,
Mihály Biró,36589,Hungarian,Europe,10,4,Male,1886,1949,Country_strip\Mihály Biró_36589.png,
Steina,32428,Icelandic,Europe,1,24,Female,1940,0,Country_strip\Steina_32428.png,
Olafur Eliasson,25982,Icelandic,Europe,2,9,Male,1967,0,Country_strip\Olafur Eliasson_25982.png,country_top10_artist_images/Olafur Eliasson.jpg
Ragnar Kjartansson,37616,Icelandic,Europe,3,3,Male,1976,0,Country_strip\Ragnar Kjartansson_37616.png,country_top10_artist_images/Ragnar Kjartansson.jpg
Svavar Gudnason,2391,Icelandic,Europe,4,3,Male,1909,1988,Country_strip\Svavar Gudnason_2391.png,
Björk,38789,Icelandic,Europe,5,2,Female,1965,0,Country_strip\Björk_38789.png,country_top10_artist_images/Björk.jpg
Erró (Gudmundur Gudmundsson),1754,Icelandic,Europe,6,2,Male,1932,0,Country_strip\Erró Gudmundur Gudmundsson_1754.png,country_top10_artist_images/Erró (Gudmundur Gudmundsson).jpg
Jóhannes Sveinsson Kjarval,3124,Icelandic,Europe,7,1,Male,1885,1972,Country_strip\Jóhannes Sveinsson Kjarval_3124.png,country_top10_artist_images/Jóhannes Sveinsson Kjarval.jpg
Nina Tryggvadottir,5948,Icelandic,Europe,8,1,Female,1913,1968,Country_strip\Nina Tryggvadottir_5948.png,
Sjón (Sigurjón Birgir Sigurðsson),46142,Icelandic,Europe,9,1,Male,1962,0,Country_strip\Sjón Sigurjón Birgir Sigurðsson_46142.png,country_top10_artist_images/Sjón (Sigurjón Birgir Sigurðsson).jpg
Ranjani Shettar,37577,Indian,Asia,1,18,Female,1977,0,Country_strip\Ranjani Shettar_37577.png,country_top10_artist_images/Ranjani Shettar.jpg
Gauri Gill,67529,Indian,Asia,2,11,Female,1970,0,Country_strip\Gauri Gill_67529.png,country_top10_artist_images/Gauri Gill.jpg
Nalini Malani,32825,Indian,Asia,3,11,Female,1946,0,Country_strip\Nalini Malani_32825.png,country_top10_artist_images/Nalini Malani.jpg
Ketaki Sheth,70016,Indian,Asia,4,9,Female,1957,0,Country_strip\Ketaki Sheth_70016.png,
Acharya Vyakul,22941,Indian,Asia,5,4,Male,1930,2000,Country_strip\Acharya Vyakul_22941.png,
Raj Rewal,69904,Indian,Asia,6,4,Male,1934,0,Country_strip\Raj Rewal_69904.png,country_top10_artist_images/Raj Rewal.jpg
Dayanita Singh,48057,Indian,Asia,7,3,Female,1961,0,Country_strip\Dayanita Singh_48057.png,country_top10_artist_images/Dayanita Singh.jpg
Raghu Rai,74308,Indian,Asia,8,3,Male,1942,0,Country_strip\Raghu Rai_74308.png,country_top10_artist_images/Raghu Rai.jpg
Ram Rahman,70015,Indian,Asia,9,3,Male,1955,0,Country_strip\Ram Rahman_70015.png,country_top10_artist_images/Ram Rahman.jpg
Jyoti Bhatt,544,Indian,Asia,10,2,Male,1934,0,Country_strip\Jyoti Bhatt_544.png,
Tala Madani,48117,Iranian,Asia,1,5,Female,1981,0,Country_strip\Tala Madani_48117.png,
Farshid Moussavi,27436,Iranian,Asia,2,3,Female,1965,0,Country_strip\Farshid Moussavi_27436.png,country_top10_artist_images/Farshid Moussavi.jpg
Mehrdad Yazdani,7530,Iranian,Asia,3,2,Male,1959,0,Country_strip\Mehrdad Yazdani_7530.png,
Shirin Neshat,8349,Iranian,Asia,4,2,Female,1957,0,Country_strip\Shirin Neshat_8349.png,country_top10_artist_images/Shirin Neshat.jpg
Charles Hossein Zenderoudi,6560,Iranian,Asia,5,1,Male,1937,0,Country_strip\Charles Hossein Zenderoudi_6560.png,country_top10_artist_images/Charles Hossein Zenderoudi.jpg
Faramarz Pilaram,4622,Iranian,Asia,6,1,Male,1937,1982,Country_strip\Faramarz Pilaram_4622.png,
Mani Haghighi,43551,Iranian,Asia,7,1,Male,1969,0,Country_strip\Mani Haghighi_43551.png,country_top10_artist_images/Mani Haghighi.jpg
Natascha Sadr Haghighian,32692,Iranian,Asia,8,1,Female,1953,0,Country_strip\Natascha Sadr Haghighian_32692.png,
Fergus Bourke,711,Irish,Europe,1,3,Male,1934,2004,Country_strip\Fergus Bourke_711.png,
George Reavey,4833,Irish,Europe,2,3,Male,1907,1976,Country_strip\George Reavey_4833.png,
Roderic O'Conor,4354,Irish,Europe,3,2,Male,1860,1940,Country_strip\Roderic OConor_4354.png,country_top10_artist_images/Roderic O'Conor.jpg
Stefana McClure,27184,Irish,Europe,4,2,Female,1959,0,Country_strip\Stefana McClure_27184.png,
Clegg and Guttmann,30882,Irish,Europe,5,1,Male,1957,0,Country_strip\Clegg and Guttmann_30882.png,
Ian Stuart,5701,Irish,Europe,6,1,Male,1926,0,Country_strip\Ian Stuart_5701.png,
John Gerrard,47582,Irish,Europe,7,1,Male,1974,0,Country_strip\John Gerrard_47582.png,
John Shaw Smith,23962,Irish,Europe,8,1,Male,1811,1873,Country_strip\John Shaw Smith_23962.png,country_top10_artist_images/John Shaw Smith.jpg
Malachi Farrell,35061,Irish,Europe,9,1,Male,1970,0,Country_strip\Malachi Farrell_35061.png,
Mark McKeague,46527,Irish,Europe,10,1,Male,1989,0,Country_strip\Mark McKeague_46527.png,country_top10_artist_images/Mark McKeague.jpg
Bezalel Schatz,5207,Israeli,Asia,1,47,Male,1913,0,Country_strip\Bezalel Schatz_5207.png,
Zwi Milshtein,3996,Israeli,Asia,2,29,Male,1934,0,Country_strip\Zwi Milshtein_3996.png,
William Brui,826,Israeli,Asia,3,25,Male,1946,0,Country_strip\William Brui_826.png,
Reuven Rubin,5070,Israeli,Asia,4,15,Male,1893,1974,Country_strip\Reuven Rubin_5070.png,country_top10_artist_images/Reuven Rubin.jpg
Marcel Janco,2881,Israeli,Asia,5,11,Male,1895,1984,Country_strip\Marcel Janco_2881.png,country_top10_artist_images/Marcel Janco.jpg
Elad Lassry,38028,Israeli,Asia,6,8,Male,1977,0,Country_strip\Elad Lassry_38028.png,country_top10_artist_images/Elad Lassry.jpg
Grete Wolf-Krakauer,6429,Israeli,Asia,7,7,Female,1890,1970,Country_strip\Grete WolfKrakauer_6429.png,
Jakob Steinhardt,5633,Israeli,Asia,8,7,Male,1887,1968,Country_strip\Jakob Steinhardt_5633.png,country_top10_artist_images/Jakob Steinhardt.jpg
Micha Bar-Am,8186,Israeli,Asia,9,6,Male,1930,0,Country_strip\Micha BarAm_8186.png,country_top10_artist_images/Micha Bar-Am.jpg
Jacob El Hanani,1710,Israeli,Asia,10,4,Male,1947,0,Country_strip\Jacob El Hanani_1710.png,country_top10_artist_images/Jacob El Hanani.jpg
Giorgio de Chirico,1106,Italian,Europe,1,111,Male,1888,1978,Country_strip\Giorgio de Chirico_1106.png,country_top10_artist_images/Giorgio de Chirico.jpg
Alighiero Boetti,630,Italian,Europe,2,102,Male,1940,1994,Country_strip\Alighiero Boetti_630.png,country_top10_artist_images/Alighiero Boetti.jpg
Felice Beato,416,Italian,Europe,3,91,Male,1825,1903,Country_strip\Felice Beato_416.png,country_top10_artist_images/Felice Beato.jpg
Francesco Clemente,1145,Italian,Europe,4,75,Male,1952,0,Country_strip\Francesco Clemente_1145.png,country_top10_artist_images/Francesco Clemente.jpg
Enrico Baj,292,Italian,Europe,5,56,Male,1924,2003,Country_strip\Enrico Baj_292.png,country_top10_artist_images/Enrico Baj.jpg
A. G. Fronzoni,2017,Italian,Europe,6,55,Male,1923,2002,Country_strip\A G Fronzoni_2017.png,
Giorgia Lupi,67122,Italian,Europe,7,53,Female,1981,0,Country_strip\Giorgia Lupi_67122.png,country_top10_artist_images/Giorgia Lupi.jpg
Massimo Vignelli,6155,Italian,Europe,8,50,Male,1931,2014,Country_strip\Massimo Vignelli_6155.png,country_top10_artist_images/Massimo Vignelli.jpg
Lauretta Vinciarelli,6168,Italian,Europe,9,43,Female,1943,2012,Country_strip\Lauretta Vinciarelli_6168.png,country_top10_artist_images/Lauretta Vinciarelli.jpg
Cesare Peverelli,4590,Italian,Europe,10,34,Male,1922,2000,Country_strip\Cesare Peverelli_4590.png,
Frédéric Bruly Bouabré,30876,Ivorian,Africa,1,481,Male,1923,2014,Country_strip\Frédéric Bruly Bouabré_30876.png,
Yoshitomo Nara,25523,Japanese,Asia,1,145,Male,1959,0,Country_strip\Yoshitomo Nara_25523.png,country_top10_artist_images/Yoshitomo Nara.jpg
Masuo Ikeda,2801,Japanese,Asia,2,90,Male,1934,1997,Country_strip\Masuo Ikeda_2801.png,country_top10_artist_images/Masuo Ikeda.jpg
Tadanori Yokoo,6502,Japanese,Asia,3,83,Male,1936,0,Country_strip\Tadanori Yokoo_6502.png,
Yutaka Matsuzawa,32795,Japanese,Asia,4,79,Male,1922,2006,Country_strip\Yutaka Matsuzawa_32795.png,
Mieko Shiomi,5403,Japanese,Asia,5,73,Female,1938,0,Country_strip\Mieko Shiomi_5403.png,
Ay-O,255,Japanese,Asia,6,43,Male,1931,0,Country_strip\AyO_255.png,country_top10_artist_images/Ay-O.jpg
Madoka Takagi,7041,Japanese,Asia,7,39,Female,1956,2015,Country_strip\Madoka Takagi_7041.png,
Shomei Tomatsu,5895,Japanese,Asia,8,29,Male,1930,2012,Country_strip\Shomei Tomatsu_5895.png,
Shigeko Kubota,3277,Japanese,Asia,9,26,Female,1937,2015,Country_strip\Shigeko Kubota_3277.png,country_top10_artist_images/Shigeko Kubota.jpg
Koichi Sato,5173,Japanese,Asia,10,21,Male,1944,0,Country_strip\Koichi Sato_5173.png,country_top10_artist_images/Koichi Sato.jpg
Bakhtyar Khudojnazarov,74016,Kazakhstani,Europe,1,1,Male,1965,2015,Country_strip\Bakhtyar Khudojnazarov_74016.png,country_top10_artist_images/Bakhtyar Khudojnazarov.jpg
Wangechi Mutu,28097,Kenyan,Africa,1,3,Female,1972,0,Country_strip\Wangechi Mutu_28097.png,
Christopher Zalla,42846,Kenyan,Africa,2,1,Male,1974,0,Country_strip\Christopher Zalla_42846.png,country_top10_artist_images/Christopher Zalla.jpg
Kim Beom,49061,Korean,Asia,1,12,male,1963,0,Country_strip\Kim Beom_49061.png,country_top10_artist_images/Kim Beom.jpg
Haegue Yang,37934,Korean,Asia,2,8,Female,1971,0,Country_strip\Haegue Yang_37934.png,country_top10_artist_images/Haegue Yang.jpg
Moon Hoon,49244,Korean,Asia,3,6,Male,1968,0,Country_strip\Moon Hoon_49244.png,
SEO (Seo Soo-Kyoung),28803,Korean,Asia,4,6,Female,1977,0,Country_strip\SEO Seo SooKyoung_28803.png,
Do Ho Suh,8198,Korean,Asia,5,5,Male,1962,0,Country_strip\Do Ho Suh_8198.png,country_top10_artist_images/Do Ho Suh.jpg
Lee Ufan,6835,Korean,Asia,6,4,Male,1936,0,Country_strip\Lee Ufan_6835.png,country_top10_artist_images/Lee Ufan.jpg
Hong Sang-soo,43533,Korean,Asia,7,3,Male,1961,0,Country_strip\Hong Sangsoo_43533.png,country_top10_artist_images/Hong Sang-soo.jpg
Joong Seop Lee,3451,Korean,Asia,8,3,Male,1916,1956,Country_strip\Joong Seop Lee_3451.png,country_top10_artist_images/Joong Seop Lee.jpg
Koo Jeong-a,31312,Korean,Asia,9,3,Female,1967,0,Country_strip\Koo Jeonga_31312.png,
Jay Kyu Lee,22588,Korean,Asia,10,2,Male,1964,0,Country_strip\Jay Kyu Lee_22588.png,
Munira Al-Kazi,94,Kuwaiti,Asia,1,1,Female,1939,0,Country_strip\Munira AlKazi_94.png,
Gustav Klutsis,12501,Latvian,Europe,1,61,Male,1895,1938,Country_strip\Gustav Klutsis_12501.png,country_top10_artist_images/Gustav Klutsis.jpg
Walter Zapp,6548,Latvian,Europe,2,1,Male,1905,2003,Country_strip\Walter Zapp_6548.png,country_top10_artist_images/Walter Zapp.jpg
Walid Raad,35285,Lebanese,Asia,1,11,Male,1967,0,Country_strip\Walid Raad_35285.png,country_top10_artist_images/Walid Raad.jpg
Akram Zaatari,41278,Lebanese,Asia,2,6,Male,1966,0,Country_strip\Akram Zaatari_41278.png,
Rania Ghosn,70051,Lebanese,Asia,3,4,Female,1977,0,Country_strip\Rania Ghosn_70051.png,
Rabih Mroué,42627,Lebanese,Asia,4,3,Male,1967,0,Country_strip\Rabih Mroué_42627.png,
Saloua Raouda Choucair,74339,Lebanese,Asia,5,2,Female,1916,2017,Country_strip\Saloua Raouda Choucair_74339.png,country_top10_artist_images/Saloua Raouda Choucair.jpg
Ayah Bdeir,39128,Lebanese,Asia,6,1,Female,1982,0,Country_strip\Ayah Bdeir_39128.png,country_top10_artist_images/Ayah Bdeir.jpg
Salim Al-Kadi,67553,Lebanese,Asia,7,1,Male,1979,0,Country_strip\Salim AlKadi_67553.png,
Algirdas Šeškus,74817,Lithuanian,Europe,1,8,Male,1945,0,Country_strip\Algirdas Šeškus_74817.png,
Jonas Mekas,7930,Lithuanian,Europe,2,5,Male,1922,0,Country_strip\Jonas Mekas_7930.png,country_top10_artist_images/Jonas Mekas.jpg
Deimantas Narkevicius,31384,Lithuanian,Europe,3,2,Male,1964,0,Country_strip\Deimantas Narkevicius_31384.png,
Leon Krier,3250,Luxembourgish,Europe,1,10,Male,1946,0,Country_strip\Leon Krier_3250.png,country_top10_artist_images/Leon Krier.jpg
Paul Kirps,27881,Luxembourgish,Europe,2,2,Male,1969,0,Country_strip\Paul Kirps_27881.png,country_top10_artist_images/Paul Kirps.jpg
Romain Urhausen,49958,Luxembourgish,Europe,3,1,Male,1930,0,Country_strip\Romain Urhausen_49958.png,
Janko Konstantinov,49951,Macedonian,Europe,1,3,Male,1926,2010,Country_strip\Janko Konstantinov_49951.png,
Georgi Konstantinovski,49952,Macedonian,Europe,2,2,Male,1930,0,Country_strip\Georgi Konstantinovski_49952.png,country_top10_artist_images/Georgi Konstantinovski.jpg
Iskra Grabulovski,67440,Macedonian,Europe,3,1,Female,1936,2008,Country_strip\Iskra Grabulovski_67440.png,country_top10_artist_images/Iskra Grabulovski.jpg
Jordan Grabulovski,75110,Macedonian,Europe,4,1,Male,1925,1986,Country_strip\Jordan Grabulovski_75110.png,
Teona Strugar Mitevska,43603,Macedonian,Europe,5,1,Female,1974,0,Country_strip\Teona Strugar Mitevska_43603.png,country_top10_artist_images/Teona Strugar Mitevska.jpg
Simryn Gill,30916,Malaysian,Asia,1,3,Female,1959,0,Country_strip\Simryn Gill_30916.png,
Hoy Cheong,30881,Malaysian,Asia,2,1,Male,1960,0,Country_strip\Hoy Cheong_30881.png,country_top10_artist_images/Hoy Cheong.jpg
Tsai Ming-liang,48880,Malaysian,Asia,3,1,Male,1957,0,Country_strip\Tsai Mingliang_48880.png,country_top10_artist_images/Tsai Ming-liang.jpg
Malick Sidibé,26555,Malian,Africa,1,6,Male,1936,2016,Country_strip\Malick Sidibé_26555.png,country_top10_artist_images/Malick Sidibé.jpg
Seydou Keïta,8568,Malian,Africa,2,1,Male,1923,2001,Country_strip\Seydou Keïta_8568.png,
José-Guadalupe Posada,4707,Mexican,North America,1,139,Male,1852,1913,Country_strip\JoséGuadalupe Posada_4707.png,country_top10_artist_images/José-Guadalupe Posada.jpg
Leopoldo Méndez,3923,Mexican,North America,2,102,Male,1902,1969,Country_strip\Leopoldo Méndez_3923.png,country_top10_artist_images/Leopoldo Méndez.jpg
José Luis Cuevas,1325,Mexican,North America,3,76,Male,1934,2017,Country_strip\José Luis Cuevas_1325.png,country_top10_artist_images/José Luis Cuevas.jpg
Alfredo Zalce,6537,Mexican,North America,4,63,Male,1908,2003,Country_strip\Alfredo Zalce_6537.png,country_top10_artist_images/Alfredo Zalce.jpg
Rufino Tamayo,5795,Mexican,North America,5,63,Male,1899,1991,Country_strip\Rufino Tamayo_5795.png,country_top10_artist_images/Rufino Tamayo.jpg
Manuel Álvarez Bravo,135,Mexican,North America,6,47,Male,1902,2002,Country_strip\Manuel Álvarez Bravo_135.png,country_top10_artist_images/Manuel Álvarez Bravo.jpg
Diego Rivera,4942,Mexican,North America,7,44,Male,1886,1957,Country_strip\Diego Rivera_4942.png,country_top10_artist_images/Diego Rivera.jpg
José Chávez Morado,1084,Mexican,North America,8,34,Male,1909,2002,Country_strip\José Chávez Morado_1084.png,
José Clemente Orozco,4430,Mexican,North America,9,34,Male,1883,1949,Country_strip\José Clemente Orozco_4430.png,country_top10_artist_images/José Clemente Orozco.jpg
Eduardo Terrazas,5834,Mexican,North America,10,33,Male,1936,0,Country_strip\Eduardo Terrazas_5834.png,
Yto Barrada,42323,Moroccan,Africa,1,9,Female,1971,0,Country_strip\Yto Barrada_42323.png,
Bouchra Khalili,47100,Moroccan,Africa,2,2,Female,1975,0,Country_strip\Bouchra Khalili_47100.png,
Ahmed Yacoubi,6476,Moroccan,Africa,3,1,Male,1928,1985,Country_strip\Ahmed Yacoubi_6476.png,
Mohamed Melehi,3914,Moroccan,Africa,4,1,Male,1936,0,Country_strip\Mohamed Melehi_3914.png,country_top10_artist_images/Mohamed Melehi.jpg
William N. Touzani,5911,Moroccan,Africa,5,1,Male,1954,0,Country_strip\William N Touzani_5911.png,
John Muafangejo,32115,Namibian,Africa,1,1,Male,1943,1987,Country_strip\John Muafangejo_32115.png,
